"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","ppt","recipient_sex","metaphor","stimulus","button_pressed","qtype","view_history","response","responses"
"5194","consent.html","external-html","0","5213","0.0-0.0","tov3xee6brc8e2tcf7ta","female","journey","","","","","",""
"1821","","image-button-response","1","7038","0.0-1.0","tov3xee6brc8e2tcf7ta","female","journey","check-1.png","1","check1","","",""
"2926","","image-button-response","2","9966","0.0-2.0","tov3xee6brc8e2tcf7ta","female","journey","check-2.png","2","check2","","",""
"23350","","instructions","3","33317","0.0-3.0","tov3xee6brc8e2tcf7ta","female","journey","","","","[{""page_index"":0,""viewing_time"":4590},{""page_index"":1,""viewing_time"":11175},{""page_index"":2,""viewing_time"":6025},{""page_index"":3,""viewing_time"":1559}]","",""
"14613","","html-slider-response","4","47932","0.0-4.0","tov3xee6brc8e2tcf7ta","female","journey","<h3>Please carefully read the following campaign, and indicate below how     much you would donate.</h3><p>Once you are satisfied, press ""Continue"" at the bottom.</p>    <br><img src=""condition_fj.png"" class=""main-trial""/>","","trial","","25",""
"57292","","survey-text","5","105227","0.0-5.0","tov3xee6brc8e2tcf7ta","female","journey","","","description","","","{""Q0"":""that she is suffering from cancer and that she really  needs help. the money would help her to pay off medical bills and to make her feel better.""}"
"5125","","survey-likert","6","110355","0.0-6.0-0.0","tov3xee6brc8e2tcf7ta","female","journey","","","urgent","","","{""Q0"":6}"
"2974","","survey-likert","7","113330","0.0-6.0-1.0","tov3xee6brc8e2tcf7ta","female","journey","","","sympathy","","","{""Q0"":6}"
"4159","","survey-text","8","117490","0.0-7.0","tov3xee6brc8e2tcf7ta","female","journey","","","past-donations","","","{""Q0"":""3""}"
"2807","","survey-multi-choice","9","120299","0.0-8.0-0.0","tov3xee6brc8e2tcf7ta","female","journey","","","self-cancer","","","{""Q0"":""No""}"
"2685","","survey-multi-choice","10","122986","0.0-8.0-1.0","tov3xee6brc8e2tcf7ta","female","journey","","","ff-cancer","","","{""Q0"":""Yes""}"
"13719","","survey-multi-choice","11","136715","0.0-9.0","tov3xee6brc8e2tcf7ta","female","journey","","","demographics","","","{""Q0"":""Male"",""Q1"":""Associate degree (e.g. AA, AS)"",""Q2"":""$25,000 through $49,999"",""Q3"":""Yes""}"
"3868","","survey-text","12","140586","0.0-10.0","tov3xee6brc8e2tcf7ta","female","journey","","","age","","","{""Q0"":""39""}"
"4110","","survey-text","13","144698","0.0-11.0","tov3xee6brc8e2tcf7ta","female","journey","","","purpose","","","{""Q0"":""""}"
"2279","","survey-text","14","146977","0.0-12.0","tov3xee6brc8e2tcf7ta","female","journey","","","feedback","","","{""Q0"":""""}"
"2889","debrief.html","external-html","15","150124","0.0-13.0","tov3xee6brc8e2tcf7ta","female","journey","","","","","",""
